ItemName,ItemType,Slot,RequiresWorn,StatType,StatValue,Ability,DamageFromUse
swordWood,flat,MainHand,FALSE,1,3,,
swordStone,flat;use,MainHand,FALSE,1,6,Smite,10
swordIron,flat,MainHand,FALSE,1,13,,
swordGold,flat,MainHand,FALSE,1,20,,
swordDiamond,flat,MainHand,FALSE,1,30,,
bloodSword,flat;use,MainHand,FALSE,1,6,Lifesteal,0
,,,,,,,
hatchetWood,flat,MainHand,FALSE,1,2,,
hatchetStone,flat,MainHand,FALSE,1,5,,
hatchetIron,flat,MainHand,FALSE,1,11,,
hatchetGold,flat,MainHand,FALSE,1,17,,
hatchetDiamond,flat,MainHand,FALSE,1,25,,
,,,,,,,
bow,flat;use,MainHand,FALSE,1,15,Barrage,10
,,,,,,,
chestplateCloth,flat,Torso,TRUE,2,4,,
chestplateIron,flat,Torso,TRUE,2,6,,
chestplateChain,flat,Torso,TRUE,2,6,,
chestplateGold,flat,Torso,TRUE,2,8,,
chestplateDiamond,flat,Torso,TRUE,2,12,,
,,,,,,,
helmetCloth,flat,Head,TRUE,2,2,,
helmetIron,flat,Head,TRUE,2,3,,
helmetChain,flat,Head,TRUE,2,3,,
helmetGold,flat,Head,TRUE,2,4,,
helmetDiamond,flat,Head,TRUE,2,6,,
,,,,,,,
bootsCloth,flat;use,Foot,TRUE,2,2,Heal,-1
bootsIron,flat,Foot,TRUE,2,3,,
bootsChain,flat,Foot,TRUE,2,3,,
bootsGold,flat,Foot,TRUE,2,4,,
bootsDiamond,flat,Foot,TRUE,2,6,,
,,,,,,,
leggingsCloth,flat,Legs,TRUE,2,2,,
leggingsIron,flat,Legs,TRUE,2,4,,
leggingsChain,flat,Legs,TRUE,2,4,,
leggingsGold,flat,Legs,TRUE,2,6,,
leggingsDiamond,flat,Legs,TRUE,2,8,,
,,,,,,,
smallPotion,use,,,,,smallPotion,-1
medPotion,use,,,,,medPotion,-1
highPotion,use,,,,,highPotion,-1
smallManaPotion,use,,,,,smallManaPotion,-1
highManaPotion,use,,,,,highManaPotion,-1
elixir,use,,,,,elixir,-1
megalixir,use,,,,,megalixir,-1
,,,,,,,
antidote,use,,,,,antidote,-1
echoScreen,use,,,,,echoScreen,-1
parlyzHeal,use,,,,,parlyzHeal,-1
pinwheel,use,,,,,pinwheel,-1
eyeDrops,use,,,,,eyeDrops,-1
panacea,use,,,,,panacea,-1
phoenixDown,use,,,,,phoenixDown,-1
,,,,,,,
fireBomb,use,,,,,fireBomb,-1
earthGem,use,,,,,earthGem,-1
iceCrystal,use,,,,,iceCrystal,-1
lightningRod,use,,,,,lightningRod,-1
##UNKNOWN##,,,,,,,
